SHOP_URL,GOODS_NAME,GOODS_URL,SHOP_NAME,COMPANY_NAME,file_urls,COMPANY_ADDRESS,GOODS_PRICE
//rate.taobao.com/user-rate-UvFc4MGxyMFc4vNTT.htm,PullAndBear 女士可拆式连帽绒毛短款派克外套 09715308,http://detail.tmall.com/item.htm?id=557294792267&skuId=3455408424315&user_id=1787625780&cat_id=2&is_b=1&rn=1a4dd009837b5115dfb412f38ff51313,pullandbear官方旗舰店,,http://img.alicdn.com/bao/uploaded/i2/1787625780/TB1opaabgfN8KJjSZFIXXc0UFXa_!!0-item_pic.jpg_b.jpg,上海,399.00
//rate.taobao.com/user-rate-UvCxGOmHuOF8u.htm,韩都衣舍2017韩版女秋装新休闲弹力修身显瘦小脚牛仔裤GQ5149耒,http://detail.tmall.com/item.htm?id=522026892455&skuId=3203932579473&user_id=263817957&cat_id=2&is_b=1&rn=1a4dd009837b5115dfb412f38ff51313,韩都衣舍旗舰店,,http://img.alicdn.com/bao/uploaded/i1/263817957/TB1M9b3lMoQMeJjy0FpXXcTxpXa_!!0-item_pic.jpg_b.jpg,"山东,  济南",123.00
//rate.taobao.com/user-rate-UMGI4MmQGOFxy.htm,哥弟女裤2017秋季新款休闲裤女修身显瘦九分裤小脚女士裤子190063,http://detail.tmall.com/item.htm?id=530435035166&skuId=3281988413582&user_id=728443962&cat_id=2&is_b=1&rn=1a4dd009837b5115dfb412f38ff51313,哥弟官方旗舰店,,http://img.alicdn.com/bao/uploaded/i1/728443962/TB1azbKcrYI8KJjy0FaXXbAiVXa_!!0-item_pic.jpg_b.jpg,"广东,  广州",300.00
//rate.taobao.com/user-rate-UMmIWMFxuMG8u.htm,VeroModa2017新款垂感雪纺面料个性小捏褶休闲衬衫|317231502,http://detail.tmall.com/item.htm?id=543782762358&skuId=3273651705131&user_id=420567757&cat_id=2&is_b=1&rn=1a4dd009837b5115dfb412f38ff51313,veromoda官方旗舰店,,http://img.alicdn.com/bao/uploaded/i4/TB1i20DRVXXXXcEXpXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,天津,224.50
//rate.taobao.com/user-rate-UvCIGMGgGMCx4OQTT.htm,2017新款马夹外套秋冬韩版棉马甲女中长款修身加厚大码羽绒棉背心,http://detail.tmall.com/item.htm?id=529482105518&skuId=3154139341991&user_id=2237836689&cat_id=2&is_b=1&rn=1a4dd009837b5115dfb412f38ff51313,茗人蔓姿旗舰店,,http://img.alicdn.com/bao/uploaded/i4/TB1H_xoMpXXXXXtaXXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,"北京,  北京市",85.00
//rate.taobao.com/user-rate-UvFc4MGxyMFc4vNTT.htm,PullAndBear 女士绒里衬里牛仔外套 09713114,http://detail.tmall.com/item.htm?id=559181185740&skuId=3648090654997&user_id=1787625780&cat_id=2&is_b=1&rn=1a4dd009837b5115dfb412f38ff51313,pullandbear官方旗舰店,,http://img.alicdn.com/bao/uploaded/i1/1787625780/TB1afW5azgy_uJjSZPxXXanNpXa_!!0-item_pic.jpg_b.jpg,上海,249.00
//rate.taobao.com/user-rate-UvFN0MGNSMGxyOQTT.htm,毛呢外套女中长款韩版2017新款羊毛呢子过膝秋冬装无双面羊绒大衣,http://detail.tmall.com/item.htm?id=540557844880&skuId=3205977263851&user_id=1047097629&cat_id=2&is_b=1&rn=1a4dd009837b5115dfb412f38ff51313,王小鸭旗舰店,,http://img.alicdn.com/bao/uploaded/i3/1047097629/TB1yqj9g8DH8KJjy1zeXXXjepXa_!!0-item_pic.jpg_b.jpg,"北京,  北京市",898.00
//rate.taobao.com/user-rate-UvFcLvCkWvCN0vQTT.htm,纯手工双面羊毛大衣女2017秋冬新款显瘦中长款羊毛呢子外套无羊绒,http://detail.tmall.com/item.htm?id=537728491111&skuId=3206395014777&user_id=1762902041&cat_id=2&is_b=1&rn=1a4dd009837b5115dfb412f38ff51313,梵琳达旗舰店,,http://img.alicdn.com/bao/uploaded/i3/TB1ijYLOFXXXXaIapXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,"浙江省,  杭州市",578.00
//rate.taobao.com/user-rate-UvCH0MCkuOFxLvWTT.htm,加绒牛仔裤女高腰冬季黑色弹力大码加绒加厚保暖小脚牛仔裤女长裤,http://detail.tmall.com/item.htm?id=560104804019&skuId=3665242599058&user_id=2146979663&cat_id=2&is_b=1&rn=1a4dd009837b5115dfb412f38ff51313,思梦羽旗舰店,,http://img.alicdn.com/bao/uploaded/i1/2146979663/TB1XyMacf6H8KJjy0FjXXaXepXa_!!0-item_pic.jpg_b.jpg,"广东省,  中山市",129.00
//rate.taobao.com/user-rate-UvFN0MGNSMGxyOQTT.htm,王小鸭旗舰店羊绒大衣女中长款2017新款毛呢外套女双面绒羊毛大衣,http://detail.tmall.com/item.htm?id=538365953583&skuId=3216175640854&user_id=1047097629&cat_id=2&is_b=1&rn=1a4dd009837b5115dfb412f38ff51313,王小鸭旗舰店,,http://img.alicdn.com/bao/uploaded/i4/1047097629/TB1Qm_vg8fH8KJjy1XbXXbLdXXa_!!0-item_pic.jpg_b.jpg,"北京,  北京市",1398.00
